chn 0,  Pts = 0,  LumPixSum = 156345204,  LumPixAverage=74!     

chn 0,  Pts = 0,  LumPixSum = 163139315,  LumPixAverage=78!     

chn 0,  Pts = 0,  LumPixSum = 172873149,  LumPixAverage=82!     

chn 0,  Pts = 0,  LumPixSum = 177537424,  LumPixAverage=84!     

chn 0,  Pts = 0,  LumPixSum = 183308656,  LumPixAverage=87!     

chn 0,  Pts = 0,  LumPixSum = 182339970,  LumPixAverage=87!     

chn 0,  Pts = 0,  LumPixSum = 181832865,  LumPixAverage=87!     

chn 0,  Pts = 0,  LumPixSum = 184526692,  LumPixAverage=88!     

chn 0,  Pts = 0,  LumPixSum = 185979378,  LumPixAverage=89!     

chn 0,  Pts = 0,  LumPixSum = 185216895,  LumPixAverage=88!     

chn 0,  Pts = 0,  LumPixSum = 186151084,  LumPixAverage=89!     

chn 0,  Pts = 0,  LumPixSum = 188248729,  LumPixAverage=90!     

chn 0,  Pts = 0,  LumPixSum = 190197384,  LumPixAverage=91!     

chn 0,  Pts = 0,  LumPixSum = 191688665,  LumPixAverage=91!     

chn 0,  Pts = 0,  LumPixSum = 194698670,  LumPixAverage=93!     

chn 0,  Pts = 0,  LumPixSum = 197360682,  LumPixAverage=94!     

chn 0,  Pts = 0,  LumPixSum = 199396803,  LumPixAverage=95!     

chn 0,  Pts = 0,  LumPixSum = 199674862,  LumPixAverage=95!     

chn 0,  Pts = 0,  LumPixSum = 202553845,  LumPixAverage=96!     

chn 0,  Pts = 0,  LumPixSum = 205668264,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 207044438,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 206020708,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 204226851,  LumPixAverage=97!     

chn 0,  Pts = 0,  LumPixSum = 205781052,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205132980,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 206146697,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205485109,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205217439,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205315279,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 204467901,  LumPixAverage=97!     

chn 0,  Pts = 0,  LumPixSum = 207827551,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 207765405,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 208396813,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 209429863,  LumPixAverage=100!     

chn 0,  Pts = 0,  LumPixSum = 209997649,  LumPixAverage=100!     

chn 0,  Pts = 0,  LumPixSum = 208828147,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 209516684,  LumPixAverage=100!     

chn 0,  Pts = 0,  LumPixSum = 207734844,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 205305225,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 204667489,  LumPixAverage=97!     

chn 0,  Pts = 0,  LumPixSum = 205570943,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 204370824,  LumPixAverage=97!     

chn 0,  Pts = 0,  LumPixSum = 201699649,  LumPixAverage=96!     

chn 0,  Pts = 0,  LumPixSum = 199691987,  LumPixAverage=95!     

chn 0,  Pts = 0,  LumPixSum = 198485270,  LumPixAverage=95!     

chn 0,  Pts = 0,  LumPixSum = 198246502,  LumPixAverage=94!     

chn 0,  Pts = 0,  LumPixSum = 194189971,  LumPixAverage=92!     

chn 0,  Pts = 0,  LumPixSum = 151081690,  LumPixAverage=72!     

chn 0,  Pts = 0,  LumPixSum = 154741283,  LumPixAverage=74!     

chn 0,  Pts = 0,  LumPixSum = 157501133,  LumPixAverage=75!     

chn 0,  Pts = 0,  LumPixSum = 163228724,  LumPixAverage=78!     

chn 0,  Pts = 0,  LumPixSum = 169269653,  LumPixAverage=81!     

chn 0,  Pts = 0,  LumPixSum = 174130465,  LumPixAverage=83!     

chn 0,  Pts = 0,  LumPixSum = 175683336,  LumPixAverage=84!     

chn 0,  Pts = 0,  LumPixSum = 169705380,  LumPixAverage=81!     

chn 0,  Pts = 0,  LumPixSum = 162042965,  LumPixAverage=77!     

chn 0,  Pts = 0,  LumPixSum = 156416866,  LumPixAverage=74!     

chn 0,  Pts = 0,  LumPixSum = 153437615,  LumPixAverage=73!     

chn 0,  Pts = 0,  LumPixSum = 152414469,  LumPixAverage=72!     

chn 0,  Pts = 0,  LumPixSum = 153731748,  LumPixAverage=73!     

chn 0,  Pts = 0,  LumPixSum = 156345204,  LumPixAverage=74!     

chn 0,  Pts = 0,  LumPixSum = 163139315,  LumPixAverage=78!     

chn 0,  Pts = 0,  LumPixSum = 172873149,  LumPixAverage=82!     

chn 0,  Pts = 0,  LumPixSum = 177537424,  LumPixAverage=84!     

chn 0,  Pts = 0,  LumPixSum = 183308656,  LumPixAverage=87!     

chn 0,  Pts = 0,  LumPixSum = 182339970,  LumPixAverage=87!     

chn 0,  Pts = 0,  LumPixSum = 181832865,  LumPixAverage=87!     

chn 0,  Pts = 0,  LumPixSum = 184526692,  LumPixAverage=88!     

chn 0,  Pts = 0,  LumPixSum = 185979378,  LumPixAverage=89!     

chn 0,  Pts = 0,  LumPixSum = 185216895,  LumPixAverage=88!     

chn 0,  Pts = 0,  LumPixSum = 186151084,  LumPixAverage=89!     

chn 0,  Pts = 0,  LumPixSum = 188248729,  LumPixAverage=90!     

chn 0,  Pts = 0,  LumPixSum = 190197384,  LumPixAverage=91!     

chn 0,  Pts = 0,  LumPixSum = 191688665,  LumPixAverage=91!     

chn 0,  Pts = 0,  LumPixSum = 194698670,  LumPixAverage=93!     

chn 0,  Pts = 0,  LumPixSum = 197360682,  LumPixAverage=94!     

chn 0,  Pts = 0,  LumPixSum = 199396803,  LumPixAverage=95!     

chn 0,  Pts = 0,  LumPixSum = 199674862,  LumPixAverage=95!     

chn 0,  Pts = 0,  LumPixSum = 202553845,  LumPixAverage=96!     

chn 0,  Pts = 0,  LumPixSum = 205668264,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 207044438,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 206020708,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 204226851,  LumPixAverage=97!     

chn 0,  Pts = 0,  LumPixSum = 205781052,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205132980,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 206146697,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205485109,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205217439,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205315279,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 204467901,  LumPixAverage=97!     

chn 0,  Pts = 0,  LumPixSum = 207827551,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 207765405,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 208396813,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 209429863,  LumPixAverage=100!     

chn 0,  Pts = 0,  LumPixSum = 209997649,  LumPixAverage=100!     

chn 0,  Pts = 0,  LumPixSum = 208828147,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 209516684,  LumPixAverage=100!     

chn 0,  Pts = 0,  LumPixSum = 207734844,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 205305225,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 204667489,  LumPixAverage=97!     

chn 0,  Pts = 0,  LumPixSum = 205570943,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 204370824,  LumPixAverage=97!     

chn 0,  Pts = 0,  LumPixSum = 201699649,  LumPixAverage=96!     

chn 0,  Pts = 0,  LumPixSum = 199691987,  LumPixAverage=95!     

chn 0,  Pts = 0,  LumPixSum = 198485270,  LumPixAverage=95!     

chn 0,  Pts = 0,  LumPixSum = 198246502,  LumPixAverage=94!     

chn 0,  Pts = 0,  LumPixSum = 194189971,  LumPixAverage=92!     

chn 0,  Pts = 0,  LumPixSum = 151081690,  LumPixAverage=72!     

chn 0,  Pts = 0,  LumPixSum = 154741283,  LumPixAverage=74!     

chn 0,  Pts = 0,  LumPixSum = 157501133,  LumPixAverage=75!     

chn 0,  Pts = 0,  LumPixSum = 163228724,  LumPixAverage=78!     

chn 0,  Pts = 0,  LumPixSum = 169269653,  LumPixAverage=81!     

chn 0,  Pts = 0,  LumPixSum = 174130465,  LumPixAverage=83!     

chn 0,  Pts = 0,  LumPixSum = 175683336,  LumPixAverage=84!     

chn 0,  Pts = 0,  LumPixSum = 169705380,  LumPixAverage=81!     

chn 0,  Pts = 0,  LumPixSum = 162042965,  LumPixAverage=77!     

chn 0,  Pts = 0,  LumPixSum = 156416866,  LumPixAverage=74!     

chn 0,  Pts = 0,  LumPixSum = 153437615,  LumPixAverage=73!     

chn 0,  Pts = 0,  LumPixSum = 152414469,  LumPixAverage=72!     

chn 0,  Pts = 0,  LumPixSum = 153731748,  LumPixAverage=73!     

chn 0,  Pts = 0,  LumPixSum = 156345204,  LumPixAverage=74!     

chn 0,  Pts = 0,  LumPixSum = 163139315,  LumPixAverage=78!     

chn 0,  Pts = 0,  LumPixSum = 172873149,  LumPixAverage=82!     

chn 0,  Pts = 0,  LumPixSum = 177537424,  LumPixAverage=84!     

chn 0,  Pts = 0,  LumPixSum = 183308656,  LumPixAverage=87!     

chn 0,  Pts = 0,  LumPixSum = 182339970,  LumPixAverage=87!     

chn 0,  Pts = 0,  LumPixSum = 181832865,  LumPixAverage=87!     

chn 0,  Pts = 0,  LumPixSum = 184526692,  LumPixAverage=88!     

chn 0,  Pts = 0,  LumPixSum = 185979378,  LumPixAverage=89!     

chn 0,  Pts = 0,  LumPixSum = 185216895,  LumPixAverage=88!     

chn 0,  Pts = 0,  LumPixSum = 186151084,  LumPixAverage=89!     

chn 0,  Pts = 0,  LumPixSum = 188248729,  LumPixAverage=90!     

chn 0,  Pts = 0,  LumPixSum = 190197384,  LumPixAverage=91!     

chn 0,  Pts = 0,  LumPixSum = 191688665,  LumPixAverage=91!     

chn 0,  Pts = 0,  LumPixSum = 194698670,  LumPixAverage=93!     

chn 0,  Pts = 0,  LumPixSum = 197360682,  LumPixAverage=94!     

chn 0,  Pts = 0,  LumPixSum = 199396803,  LumPixAverage=95!     

chn 0,  Pts = 0,  LumPixSum = 199674862,  LumPixAverage=95!     

chn 0,  Pts = 0,  LumPixSum = 202553845,  LumPixAverage=96!     

chn 0,  Pts = 0,  LumPixSum = 205668264,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 207044438,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 206020708,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 204226851,  LumPixAverage=97!     

chn 0,  Pts = 0,  LumPixSum = 205781052,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205132980,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 206146697,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205485109,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205217439,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 205315279,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 204467901,  LumPixAverage=97!     

chn 0,  Pts = 0,  LumPixSum = 207827551,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 207765405,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 208396813,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 209429863,  LumPixAverage=100!     

chn 0,  Pts = 0,  LumPixSum = 209997649,  LumPixAverage=100!     

chn 0,  Pts = 0,  LumPixSum = 208828147,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 209516684,  LumPixAverage=100!     

chn 0,  Pts = 0,  LumPixSum = 207734844,  LumPixAverage=99!     

chn 0,  Pts = 0,  LumPixSum = 205305225,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 204667489,  LumPixAverage=97!     

chn 0,  Pts = 0,  LumPixSum = 205570943,  LumPixAverage=98!     

chn 0,  Pts = 0,  LumPixSum = 204370824,  LumPixAverage=97!     

chn 0,  Pts = 0,  LumPixSum = 201699649,  LumPixAverage=96!     

chn 0,  Pts = 0,  LumPixSum = 199691987,  LumPixAverage=95!     

chn 0,  Pts = 0,  LumPixSum = 198485270,  LumPixAverage=95!     

chn 0,  Pts = 0,  LumPixSum = 198246502,  LumPixAverage=94!     

chn 0,  Pts = 0,  LumPixSum = 194189971,  LumPixAverage=92!     

chn 0,  Pts = 0,  LumPixSum = 151081690,  LumPixAverage=72!     

chn 0,  Pts = 0,  LumPixSum = 154741283,  LumPixAverage=74!     

chn 0,  Pts = 0,  LumPixSum = 157501133,  LumPixAverage=75!     

chn 0,  Pts = 0,  LumPixSum = 163228724,  LumPixAverage=78!     

chn 0,  Pts = 0,  LumPixSum = 169269653,  LumPixAverage=81!     

chn 0,  Pts = 0,  LumPixSum = 174130465,  LumPixAverage=83!     

chn 0,  Pts = 0,  LumPixSum = 175683336,  LumPixAverage=84!     

chn 0,  Pts = 0,  LumPixSum = 169705380,  LumPixAverage=81!     

chn 0,  Pts = 0,  LumPixSum = 162042965,  LumPixAverage=77!     

chn 0,  Pts = 0,  LumPixSum = 156416866,  LumPixAverage=74!     

chn 0,  Pts = 0,  LumPixSum = 153437615,  LumPixAverage=73!     

chn 0,  Pts = 0,  LumPixSum = 152414469,  LumPixAverage=72!     

chn 0,  Pts = 0,  LumPixSum = 153731748,  LumPixAverage=73!     

chn 0,  Pts = 0,  LumPixSum = 156345204,  LumPixAverage=74!     

chn 0,  Pts = 0,  LumPixSum = 163139315,  LumPixAverage=78!     

chn 0,  Pts = 0,  LumPixSum = 172873149,  LumPixAverage=82!     

chn 0,  Pts = 0,  LumPixSum = 177537424,  LumPixAverage=84!     

chn 0,  Pts = 0,  LumPixSum = 183308656,  LumPixAverage=87!     

chn 0,  Pts = 0,  LumPixSum = 182339970,  LumPixAverage=87!     

chn 0,  Pts = 0,  LumPixSum = 181832865,  LumPixAverage=87!     

chn 0,  Pts = 0,  LumPixSum = 184526692,  LumPixAverage=88!     

chn 0,  Pts = 0,  LumPixSum = 185979378,  LumPixAverage=89!     

chn 0,  Pts = 0,  LumPixSum = 185216895,  LumPixAverage=88!     

chn 0,  Pts = 0,  LumPixSum = 186151084,  LumPixAverage=89!     

